Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2018/12/01 12:54:00 AM,2018/12/01,00:54,2018,Saturday,2018/12/01 01:05:00 AM,74340863010,743408,160265540,183350153,IS,Initial Supplement,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,CHAIN OF LAKES DR \ JOHN F KENNEDY DR,27827000,Richmond,Golden Gate Park,1,37.768156874565435,-122.50045983043844,"(37.768156874565435, -122.50045983043844)"
2018/12/01 02:29:00 AM,2018/12/01,02:29,2018,Saturday,2018/12/01 02:29:00 AM,74341028160,743410,180906332,183350344,II,Initial,,28160,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",Open or Active,02ND ST \ MARKET ST,30734000,Central,Financial District/South Beach,3,37.789264321511176,-122.4013754923669,"(37.789264321511176, -122.4013754923669)"
2018/12/01 02:10:00 AM,2018/12/01,02:10,2018,Saturday,2018/12/01 02:14:00 AM,74341206153,743412,180906304,183350318,II,Initial,,06153,Larceny Theft,Larceny Theft - Other,"Theft, From Person, $200-$950 (other than Pickpocket)",Open or Active,CLEMENTINA ST \ 09TH ST,24296000,Southern,South of Market,6,37.77419965470602,-122.41217011243195,"(37.77419965470602, -122.41217011243195)"
2018/12/01 02:54:00 AM,2018/12/01,02:54,2018,Saturday,2018/12/01 03:01:00 AM,74341404134,743414,180906354,183350393,II,Initial,,04134,Assault,Simple Assault,Battery,Cite or Arrest Adult,MARKET ST \ RESERVOIR ST,25877000,Mission,Castro/Upper Market,8,37.76877049785351,-122.42746205880601,"(37.76877049785351, -122.42746205880601)"
2018/12/01 01:42:00 AM,2018/12/01,01:42,2018,Saturday,2018/12/01 02:13:00 AM,74341619022,743416,180906376,183350302,II,Initial,,19022,Disorderly Conduct,Disorderly Conduct,Disturbing The Peace,Cite or Arrest Adult,BALBOA ST \ 05TH AVE,27243000,Richmond,Inner Richmond,1,37.777282734052214,-122.46294079022017,"(37.777282734052214, -122.46294079022017)"
2018/12/01 01:42:00 AM,2018/12/01,01:42,2018,Saturday,2018/12/01 02:13:00 AM,74341619057,743416,180906376,183350302,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Cite or Arrest Adult,BALBOA ST \ 05TH AVE,27243000,Richmond,Inner Richmond,1,37.777282734052214,-122.46294079022017,"(37.777282734052214, -122.46294079022017)"
2018/12/01 03:25:00 AM,2018/12/01,03:25,2018,Saturday,2018/12/01 03:43:00 AM,74342305081,743423,180906439,183350445,II,Initial,,05081,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Forcible Entry",Cite or Arrest Adult,FALMOUTH ST \ SHIPLEY ST,23934000,Southern,South of Market,6,37.779005027647045,-122.40388332830719,"(37.779005027647045, -122.40388332830719)"
2018/12/01 03:25:00 AM,2018/12/01,03:25,2018,Saturday,2018/12/01 03:43:00 AM,74342327195,743423,180906439,183350445,II,Initial,,27195,Other Miscellaneous,Trespass,Trespassing,Cite or Arrest Adult,FALMOUTH ST \ SHIPLEY ST,23934000,Southern,South of Market,6,37.779005027647045,-122.40388332830719,"(37.779005027647045, -122.40388332830719)"
2018/12/01 12:12:00 AM,2018/12/01,00:12,2018,Saturday,2018/12/01 12:12:00 AM,74342451040,743424,180906207,183350029,II,Initial,,51040,Non-Criminal,Non-Criminal,Aided Case,Open or Active,NATOMA ST \ MARY ST,24283000,Southern,South of Market,6,37.78130584465505,-122.40624777655574,"(37.78130584465505, -122.40624777655574)"
2018/12/01 12:12:00 AM,2018/12/01,00:12,2018,Saturday,2018/12/01 12:12:00 AM,74342464085,743424,180906207,183350029,II,Initial,,64085,Other Miscellaneous,Other,Investigative Detention,Open or Active,NATOMA ST \ MARY ST,24283000,Southern,South of Market,6,37.78130584465505,-122.40624777655574,"(37.78130584465505, -122.40624777655574)"
2018/12/01 01:27:00 AM,2018/12/01,01:27,2018,Saturday,2018/12/01 03:21:00 AM,74342575000,743425,180906382,183350227,II,Initial,,75000,Missing Person,Missing Person,Found Person,Open or Active,28TH AVE \ VICENTE ST,23250000,Taraval,Sunset/Parkside,4,37.738899869536326,-122.48507449528636,"(37.738899869536326, -122.48507449528636)"
2018/12/01 04:33:00 AM,2018/12/01,04:33,2018,Saturday,2018/12/01 04:33:00 AM,74355104012,743551,180906467,183350499,II,Initial,,04012,Assault,Aggravated Assault,"Assault, Aggravated, W/ Knife",Open or Active,08TH ST \ GROVE ST \ HYDE ST \ MARKET ST,24429000,Tenderloin,Tenderloin,6,37.77871942789032,-122.4147412230519,"(37.77871942789032, -122.4147412230519)"
2018/12/01 07:15:00 AM,2018/12/01,07:15,2018,Saturday,2018/12/01 07:15:00 AM,74355627177,743556,180906520,183350683,II,Initial,,27177,Other Miscellaneous,Other,Evading a Police Vehicle or Bicycle,Open or Active,24TH ST \ HARRISON ST,23978000,Mission,Mission,9,37.752628589044264,-122.41189982277923,"(37.752628589044264, -122.41189982277923)"
2018/12/01 07:15:00 AM,2018/12/01,07:15,2018,Saturday,2018/12/01 07:15:00 AM,74355665010,743556,180906520,183350683,II,Initial,,65010,Traffic Violation Arrest,Traffic Violation Arrest,Traffic Violation Arrest,Open or Active,24TH ST \ HARRISON ST,23978000,Mission,Mission,9,37.752628589044264,-122.41189982277923,"(37.752628589044264, -122.41189982277923)"
2018/12/01 08:06:00 AM,2018/12/01,08:06,2018,Saturday,2018/12/01 08:06:00 AM,74356216621,743562,180906558,183350772,II,Initial,,16621,Drug Offense,Drug Violation,"Cocaine, Base/rock Offense",Cite or Arrest Adult,MCALLISTER ST \ CHARLES J BRENHAM PL,30045000,Tenderloin,Tenderloin,6,37.780993781477434,-122.4131480505296,"(37.780993781477434, -122.4131480505296)"
2018/12/01 08:06:00 AM,2018/12/01,08:06,2018,Saturday,2018/12/01 08:06:00 AM,74356227300,743562,180906558,183350772,II,Initial,,27300,Other Miscellaneous,Other,State Code Misdemeanor (general),Cite or Arrest Adult,MCALLISTER ST \ CHARLES J BRENHAM PL,30045000,Tenderloin,Tenderloin,6,37.780993781477434,-122.4131480505296,"(37.780993781477434, -122.4131480505296)"
2018/12/01 08:06:00 AM,2018/12/01,08:06,2018,Saturday,2018/12/01 08:06:00 AM,74356262020,743562,180906558,183350772,II,Initial,,62020,Warrant,Warrant,"Warrant Arrest, Enroute To Dept. Of Corrections",Cite or Arrest Adult,MCALLISTER ST \ CHARLES J BRENHAM PL,30045000,Tenderloin,Tenderloin,6,37.780993781477434,-122.4131480505296,"(37.780993781477434, -122.4131480505296)"
2018/12/01 08:20:00 AM,2018/12/01,08:20,2018,Saturday,2018/12/01 08:20:00 AM,74356364002,743563,180906564,183350801,II,Initial,,64002,Civil Sidewalks,Other,"Civil Sidewalks, Citation",Cite or Arrest Adult,WALLER ST \ DELMAR ST,26336000,Park,Haight Ashbury,5,37.76917927368821,-122.44592200604475,"(37.76917927368821, -122.44592200604475)"
2018/12/01 01:00:00 AM,2018/12/01,01:00,2018,Saturday,2018/12/01 09:20:00 AM,74356403074,743564,180906655,183350975,II,Initial,,03074,Robbery,Robbery - Other,"Robbery, W/ Force",Open or Active,FOLSOM ST \ HARRIET ST,23924000,Southern,South of Market,6,37.77808238134319,-122.40615042617127,"(37.77808238134319, -122.40615042617127)"
2018/12/01 02:25:00 AM,2018/12/01,02:25,2018,Saturday,2018/12/01 08:00:00 AM,74356706241,743567,180906633,183350388,II,Initial,,06241,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, <$50",Open or Active,SACRAMENTO ST \ MAPLE ST,26947000,Richmond,Presidio Heights,2,37.78713699206239,-122.4552363524493,"(37.78713699206239, -122.4552363524493)"
2018/12/01 09:00:00 AM,2018/12/01,09:00,2018,Saturday,2018/12/01 09:17:00 AM,74356916100,743569,180906649,183350845,II,Initial,,16100,Drug Offense,Drug Violation,Heroin Offense,Cite or Arrest Adult,18TH ST \ COLLINGWOOD ST,25815000,Mission,Castro/Upper Market,8,37.76082399395527,-122.43611410956652,"(37.76082399395527, -122.43611410956652)"
2018/12/01 06:33:00 AM,2018/12/01,06:33,2018,Saturday,2018/12/01 09:45:00 AM,74357204154,743572,180904079,183350604,IS,Initial Supplement,,04154,Assault,Simple Assault,"Battery, Of A Police Officer",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/12/01 06:33:00 AM,2018/12/01,06:33,2018,Saturday,2018/12/01 09:45:00 AM,74357227170,743572,180904079,183350604,IS,Initial Supplement,,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/12/01 07:15:00 AM,2018/12/01,07:15,2018,Saturday,2018/12/01 10:30:00 AM,74357327195,743573,180906774,183351203,II,Initial,,27195,Other Miscellaneous,Trespass,Trespassing,Open or Active,22ND AVE \ IRVING ST,27417000,Taraval,Sunset/Parkside,4,37.763420291159434,-122.48033692793896,"(37.763420291159434, -122.48033692793896)"
2018/12/01 07:15:00 AM,2018/12/01,07:15,2018,Saturday,2018/12/01 10:30:00 AM,74357328150,743573,180906774,183351203,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,22ND AVE \ IRVING ST,27417000,Taraval,Sunset/Parkside,4,37.763420291159434,-122.48033692793896,"(37.763420291159434, -122.48033692793896)"
2018/12/01 08:09:00 AM,2018/12/01,08:09,2018,Saturday,2018/12/01 08:09:00 AM,74357528100,743575,180906586,183350779,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,MISSION ST \ 21ST ST,24113000,Mission,Mission,9,37.75703540085026,-122.41890102956305,"(37.75703540085026, -122.41890102956305)"
2018/12/01 12:00:00 AM,2018/12/01,00:00,2018,Saturday,2018/12/01 08:31:00 AM,74357607025,743576,180906746,183350828,VI,Vehicle Initial,,07025,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Truck",Open or Active,NEY ST \ CONGDON ST,21667000,Ingleside,Excelsior,11,37.73013562652082,-122.426084311173,"(37.73013562652082, -122.426084311173)"
2018/12/01 09:30:00 AM,2018/12/01,09:30,2018,Saturday,2018/12/01 10:30:00 AM,74357764070,743577,180906796,183351205,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,LYDIA AVE \ KALMANOVITZ ST,34004000,Bayview,Bayview Hunters Point,10,37.72688863114503,-122.39721349842785,"(37.72688863114503, -122.39721349842785)"
2018/12/01 10:11:00 AM,2018/12/01,10:11,2018,Saturday,2018/12/01 10:11:00 AM,74358107041,743581,180906837,183351134,VI,Vehicle Initial,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Cite or Arrest Adult,GRIFFITH ST \ OAKDALE AVE,20065000,Bayview,Bayview Hunters Point,10,37.72823178504863,-122.37917473995319,"(37.72823178504863, -122.37917473995319)"
2018/12/01 10:11:00 AM,2018/12/01,10:11,2018,Saturday,2018/12/01 10:11:00 AM,74358207041,743582,180906837,183351134,IS,Initial Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Cite or Arrest Adult,GRIFFITH ST \ OAKDALE AVE,20065000,Bayview,Bayview Hunters Point,10,37.72823178504863,-122.37917473995319,"(37.72823178504863, -122.37917473995319)"
2018/12/01 10:11:00 AM,2018/12/01,10:11,2018,Saturday,2018/12/01 10:11:00 AM,74358211012,743582,180906837,183351134,IS,Initial Supplement,,11012,Stolen Property,Stolen Property,"Stolen Property, Possession with Knowledge, Receiving",Cite or Arrest Adult,GRIFFITH ST \ OAKDALE AVE,20065000,Bayview,Bayview Hunters Point,10,37.72823178504863,-122.37917473995319,"(37.72823178504863, -122.37917473995319)"
2018/12/01 10:11:00 AM,2018/12/01,10:11,2018,Saturday,2018/12/01 10:11:00 AM,74358263010,743582,180906837,183351134,IS,Initial Supplement,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,GRIFFITH ST \ OAKDALE AVE,20065000,Bayview,Bayview Hunters Point,10,37.72823178504863,-122.37917473995319,"(37.72823178504863, -122.37917473995319)"
2018/12/01 10:19:00 AM,2018/12/01,10:19,2018,Saturday,2018/12/01 10:23:00 AM,74358719057,743587,180906809,183351184,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Open or Active,MINNA ST \ RUSS ST,24292000,Southern,South of Market,6,37.77965775127483,-122.40928340438033,"(37.77965775127483, -122.40928340438033)"
2018/12/01 10:19:00 AM,2018/12/01,10:19,2018,Saturday,2018/12/01 10:23:00 AM,74358728150,743587,180906809,183351184,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,MINNA ST \ RUSS ST,24292000,Southern,South of Market,6,37.77965775127483,-122.40928340438033,"(37.77965775127483, -122.40928340438033)"
2018/12/01 10:11:00 AM,2018/12/01,10:11,2018,Saturday,2018/12/01 10:11:00 AM,74358907055,743589,180906837,183351134,VS,Vehicle Supplement,,07055,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Recovered, Stolen outside SF",Cite or Arrest Adult,GRIFFITH ST \ OAKDALE AVE,20065000,Bayview,Bayview Hunters Point,10,37.72823178504863,-122.37917473995319,"(37.72823178504863, -122.37917473995319)"
2018/12/01 10:54:00 AM,2018/12/01,10:54,2018,Saturday,2018/12/01 11:11:00 AM,74359006243,743590,180906893,183351280,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,STEINER ST \ FULTON ST,26042000,Northern,Western Addition,5,37.777490366353746,-122.43321873935555,"(37.777490366353746, -122.43321873935555)"
2018/12/01 12:11:00 PM,2018/12/01,12:11,2018,Saturday,2018/12/01 12:11:00 PM,74359171012,743591,180890995,183291342,VS,Vehicle Supplement,,71012,Other Offenses,Other Offenses,"License Plate, Recovered",Open or Active,04TH AVE \ ANZA ST,27242000,Richmond,Inner Richmond,1,37.779186711053285,-122.46200237105852,"(37.779186711053285, -122.46200237105852)"
2018/12/01 02:00:00 AM,2018/12/01,02:00,2018,Saturday,2018/12/01 07:00:00 AM,74359206244,743592,180905588,183343572,IS,Initial Supplement,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,MIDDLE WEST DR \ MARTIN LUTHER KING JR DR,27794000,Richmond,Golden Gate Park,1,37.76514159113103,-122.49835415155187,"(37.76514159113103, -122.49835415155187)"
2018/12/01 02:00:00 AM,2018/12/01,02:00,2018,Saturday,2018/12/01 07:00:00 AM,74359272000,743592,180905588,183343572,IS,Initial Supplement,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,MIDDLE WEST DR \ MARTIN LUTHER KING JR DR,27794000,Richmond,Golden Gate Park,1,37.76514159113103,-122.49835415155187,"(37.76514159113103, -122.49835415155187)"
2018/12/01 09:13:00 AM,2018/12/01,09:13,2018,Saturday,2018/12/01 09:19:00 AM,74359364020,743593,180906677,183350954,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,VAN NESS AVE \ BAY ST,26705000,Central,Russian Hill,2,37.804145844453586,-122.42510952213698,"(37.804145844453586, -122.42510952213698)"
2018/12/01 02:00:00 AM,2018/12/01,02:00,2018,Saturday,2018/12/01 12:45:00 PM,74359507021,743595,180907045,183351705,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,MASON ST \ DERBY ST,24916000,Central,Tenderloin,3,37.78742932998812,-122.40993054405932,"(37.78742932998812, -122.40993054405932)"
2018/12/01 10:00:00 AM,2018/12/01,10:00,2018,Saturday,2018/12/01 10:00:00 AM,74359764020,743597,180904643,183350662,IS,Initial Supplement,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,08TH ST \ GROVE ST \ HYDE ST \ MARKET ST,24429000,Tenderloin,Tenderloin,6,37.77871942789032,-122.4147412230519,"(37.77871942789032, -122.4147412230519)"
2018/12/01 10:00:00 AM,2018/12/01,10:00,2018,Saturday,2018/12/01 10:00:00 AM,74359775000,743597,180904643,183350662,IS,Initial Supplement,,75000,Missing Person,Missing Person,Found Person,Open or Active,08TH ST \ GROVE ST \ HYDE ST \ MARKET ST,24429000,Tenderloin,Tenderloin,6,37.77871942789032,-122.4147412230519,"(37.77871942789032, -122.4147412230519)"
2018/12/01 11:50:00 AM,2018/12/01,11:50,2018,Saturday,2018/12/01 11:55:00 AM,74359806154,743598,180906984,183351489,II,Initial,,06154,Larceny Theft,Larceny Theft - Other,"Theft, From Person, >$950 (other than Pickpocket)",Open or Active,FRANKLIN ST \ FELL ST,24457000,Northern,Hayes Valley,5,37.77615876396203,-122.42114842518583,"(37.77615876396203, -122.42114842518583)"
2018/12/01 12:30:00 PM,2018/12/01,12:30,2018,Saturday,2018/12/01 01:06:00 PM,74360272000,743602,180907073,183351764,II,Initial,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,ORDWAY ST \ SAN BRUNO AVE,20562000,Ingleside,Portola,10,37.720408882369306,-122.40073581863834,"(37.720408882369306, -122.40073581863834)"
2018/12/01 11:00:00 AM,2018/12/01,11:00,2018,Saturday,2018/12/01 11:08:00 AM,74360406244,743604,180906887,183351323,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,VISTA LN \ PARKRIDGE DR,32974000,Park,Twin Peaks,8,37.75235171503818,-122.44598442613956,"(37.75235171503818, -122.44598442613956)"
2018/12/01 12:15:00 PM,2018/12/01,12:15,2018,Saturday,2018/12/01 12:33:00 PM,74360503073,743605,180907023,183351602,II,Initial,,03073,Robbery,Robbery - Other,"Robbery, W/ Other Weapon",Open or Active,STOCKTON ST \ STOCKTON TUNL \ SUTTER ST,24910000,Central,Financial District/South Beach,3,37.78943368124484,-122.40695698813221,"(37.78943368124484, -122.40695698813221)"
2018/12/01 12:15:00 PM,2018/12/01,12:15,2018,Saturday,2018/12/01 12:33:00 PM,74360519057,743605,180907023,183351602,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Open or Active,STOCKTON ST \ STOCKTON TUNL \ SUTTER ST,24910000,Central,Financial District/South Beach,3,37.78943368124484,-122.40695698813221,"(37.78943368124484, -122.40695698813221)"
2018/12/01 11:30:00 AM,2018/12/01,11:30,2018,Saturday,2018/12/01 12:55:00 PM,74360806244,743608,180907051,183351729,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,GEARY BLVD \ PRESIDIO AVE,26834000,Richmond,Lone Mountain/USF,2,37.782488031626265,-122.4458205129012,"(37.782488031626265, -122.4458205129012)"
2018/12/01 12:21:00 PM,2018/12/01,12:21,2018,Saturday,2018/12/01 12:21:00 PM,74360973010,743609,180906978,183351599,II,Initial,,73010,Non-Criminal,Non-Criminal,"Firearm, Turned In by Public",Open or Active,WALLER ST \ STANYAN ST,26433000,Park,Golden Gate Park,5,37.768246024114525,-122.45335228997452,"(37.768246024114525, -122.45335228997452)"
2018/12/01 12:03:00 PM,2018/12/01,12:03,2018,Saturday,2018/12/01 01:13:00 PM,74361006153,743610,180907114,183351799,II,Initial,,06153,Larceny Theft,Larceny Theft - Other,"Theft, From Person, $200-$950 (other than Pickpocket)",Open or Active,36TH AVE \ JOHN F KENNEDY DR,27826000,Richmond,Golden Gate Park,1,37.77019807898933,-122.49491030088413,"(37.77019807898933, -122.49491030088413)"
2018/12/01 10:30:00 AM,2018/12/01,10:30,2018,Saturday,2018/12/01 11:06:00 AM,74361128100,743611,180906906,183351312,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,MINNA ST \ RUSS ST,24292000,Southern,South of Market,6,37.77965775127483,-122.40928340438033,"(37.77965775127483, -122.40928340438033)"
2018/12/01 12:30:00 PM,2018/12/01,12:30,2018,Saturday,2018/12/01 01:50:00 PM,74361306244,743613,180907142,183351950,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,CHURCH ST \ 18TH ST,25712000,Mission,Castro/Upper Market,8,37.7612895722579,-122.4283540660218,"(37.7612895722579, -122.4283540660218)"
2018/12/01 11:00:00 AM,2018/12/01,11:00,2018,Saturday,2018/12/01 12:07:00 PM,74361515040,743615,180907001,183351530,II,Initial,,15040,Offences Against The Family And Children,Family Offenses,"Spouse, Cohabitee, Parent of Child in Common, Inflict Injury",Cite or Arrest Adult,HAYES ST \ MARKET ST,30743000,Tenderloin,Tenderloin,6,37.777773070705116,-122.41600949683082,"(37.777773070705116, -122.41600949683082)"
2018/12/01 11:00:00 AM,2018/12/01,11:00,2018,Saturday,2018/12/01 12:07:00 PM,74361516650,743615,180907001,183351530,II,Initial,,16650,Drug Offense,Drug Violation,Methamphetamine Offense,Cite or Arrest Adult,HAYES ST \ MARKET ST,30743000,Tenderloin,Tenderloin,6,37.777773070705116,-122.41600949683082,"(37.777773070705116, -122.41600949683082)"
2018/12/01 11:00:00 AM,2018/12/01,11:00,2018,Saturday,2018/12/01 12:07:00 PM,74361527170,743615,180907001,183351530,II,Initial,,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Cite or Arrest Adult,HAYES ST \ MARKET ST,30743000,Tenderloin,Tenderloin,6,37.777773070705116,-122.41600949683082,"(37.777773070705116, -122.41600949683082)"
2018/12/01 01:55:00 PM,2018/12/01,13:55,2018,Saturday,2018/12/01 01:55:00 PM,74361671013,743616,180907170,183351973,VI,Vehicle Initial,,71013,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",Open or Active,04TH AVE \ ANZA ST,27242000,Richmond,Inner Richmond,1,37.779186711053285,-122.46200237105852,"(37.779186711053285, -122.46200237105852)"
2018/12/01 01:00:00 PM,2018/12/01,13:00,2018,Saturday,2018/12/01 01:00:00 PM,74361774000,743617,180902142,183351991,IS,Initial Supplement,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,BALBOA ST \ LA PLAYA,28008000,Richmond,Outer Richmond,1,37.77512752507467,-122.51016880881625,"(37.77512752507467, -122.51016880881625)"
2018/12/01 09:40:00 AM,2018/12/01,09:40,2018,Saturday,2018/12/01 09:49:00 AM,74361915500,743619,180906780,183351059,II,Initial,,15500,Offences Against The Family And Children,Other,Juvenile Involved (secondary code),Cite or Arrest Juvenile,INNES AVE \ HAWES ST,20162000,Bayview,Bayview Hunters Point,10,37.73306987628829,-122.3776486254886,"(37.73306987628829, -122.3776486254886)"
2018/12/01 09:40:00 AM,2018/12/01,09:40,2018,Saturday,2018/12/01 09:49:00 AM,74361963010,743619,180906780,183351059,II,Initial,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Juvenile,INNES AVE \ HAWES ST,20162000,Bayview,Bayview Hunters Point,10,37.73306987628829,-122.3776486254886,"(37.73306987628829, -122.3776486254886)"
